GiftId,TripId
57077,0
76937,0
24922,0
19872,0
145,0
53302,0
60015,0
89289,0
19050,0
46293,1
44019,1
96200,1
62591,1
93170,1
76161,1
68035,1
64346,1
10678,1
39375,1
28494,1
22882,2
49461,2
21660,2
12594,2
97677,3
90541,3
57182,3
74797,3
94080,3
69651,3
81923,4
52807,4
82915,4
63232,5
43978,5
72269,5
45338,5
72565,5
36726,6
67172,6
12256,6
35342,6
58507,6
23933,6
17202,6
79049,6
50918,7
41503,7
48909,7
86106,7
79886,7
70839,7
33822,7
57044,7
19301,7
34580,7
99527,8
12428,8
97220,8
97969,8
88541,8
46106,8
70726,8
14742,8
17227,8
51126,9
82300,9
2864,9
44,9
1816,9
87880,9
54825,9
24185,9
73930,9
81894,9
89431,9
4146,9
15749,9
59999,9
90168,9
53068,9
54362,9
15890,10
17399,10
97174,10
39401,10
28627,10
77725,10
19373,10
42058,10
42035,10
92935,10
95851,10
42996,10
4798,10
83034,10
38876,10
77047,10
26552,10
24643,10
7953,10
81944,10
28608,10
76869,10
47425,10
756,10
7892,10
29154,10
75,10
30514,11
3421,11
61186,11
64257,11
303,11
47659,11
71926,11
1485,11
89971,11
88893,11
62799,11
6815,11
95249,11
42974,11
14556,11
34749,11
18186,11
71387,12
66419,12
61778,12
86379,12
42235,12
64248,12
43734,12
95779,13
50235,13
97263,13
3785,13
17287,13
10271,13
95755,13
74744,13
22866,14
89919,14
70090,14
15810,14
86765,14
35041,14
50264,14
41479,14
66212,14
4789,14
2038,14
26757,14
46253,14
88846,14
50086,14
60703,14
85567,14
51567,14
81515,15
36292,15
67416,15
90904,15
72148,15
36577,15
4987,15
96816,15
80273,15
70709,15
96285,15
10440,15
25799,15
6263,15
66634,15
35767,15
46439,15
64254,15
69408,15
52289,15
21828,15
64818,15
26510,15
93650,16
18342,16
21097,16
28793,16
66900,16
63494,16
82330,16
97196,16
31907,16
54399,16
47058,16
96970,17
62781,17
87313,17
65764,17
93206,17
36434,17
14861,18
9615,18
42767,18
72759,18
76230,18
10009,18
84738,18
27105,18
40007,18
75640,18
37043,18
92462,18
63212,18
71821,18
72886,18
66523,18
69170,18
5082,18
27536,18
22530,18
58215,19
8106,19
90500,19
97459,19
84712,19
15895,19
43955,20
47347,20
77539,20
28561,20
95630,20
80688,20
59191,20
45109,20
65970,20
24425,21
32899,21
23789,21
30255,21
31902,22
50489,22
57434,22
30863,22
95573,23
13048,23
21399,23
41251,23
59243,23
1134,23
12117,23
25408,23
60661,23
19166,23
28467,24
56697,24
18313,24
85055,24
87924,24
71672,24
23088,24
22673,24
37456,24
74824,24
14682,24
92304,25
76761,25
39870,25
35267,25
40917,25
36884,26
24567,26
45254,26
92944,26
62972,26
54763,26
67816,26
61817,26
74787,27
78173,27
33036,27
75798,27
94220,27
72345,27
53173,27
63615,27
4444,28
59797,28
45184,28
23588,28
7559,28
55683,28
3286,28
38405,28
51746,28
13650,28
99563,28
26911,28
51214,28
72073,28
83696,29
71697,29
57145,29
97435,29
26092,29
24881,29
55827,29
49887,29
76907,30
65342,30
39693,30
63218,30
54271,30
64920,30
27571,30
36612,30
51004,30
86524,30
5245,30
71849,31
65633,31
74408,31
88359,31
94998,31
96363,31
99085,31
96598,31
31493,32
88680,32
49208,33
75606,33
67389,33
23389,33
74039,34
57088,34
32193,34
3070,34
45204,34
33262,34
48784,34
57248,34
95944,34
81703,34
63551,34
8833,34
16207,34
90827,34
94104,34
8259,34
70880,34
78282,34
71864,35
92180,35
74268,35
46966,36
36370,36
27802,36
99856,36
9658,36
40700,36
18995,36
77122,36
89489,36
96296,36
61243,36
63354,36
88229,36
93872,36
83047,36
43489,36
41165,37
26382,37
76535,37
93507,37
80292,37
69980,37
26820,37
99806,37
10919,37
72962,37
11698,37
74244,37
28245,37
41221,38
64223,38
88845,38
60101,38
89330,38
34714,38
17578,38
33142,38
35247,38
22826,38
47009,38
37545,38
15893,38
30198,39
20519,39
98825,39
89321,39
83681,39
69641,40
31010,40
62283,40
78553,40
80001,40
42366,40
59928,40
52725,40
3355,40
78373,40
5749,40
72445,41
19082,41
74694,41
39857,41
12268,41
43975,41
67311,41
9565,41
76897,41
21714,41
90059,41
92085,41
33734,41
96042,41
86228,41
77229,41
10763,42
22819,42
20301,42
59895,42
89071,42
56926,42
93059,42
54176,42
69631,42
88169,42
42648,42
93284,42
73086,43
27604,43
22306,43
78712,43
21587,43
90849,43
69107,43
25853,43
52102,43
73838,43
11710,43
97688,44
93415,44
28087,44
34915,44
31244,44
81614,44
57608,44
93323,44
82041,44
29883,44
99702,45
21026,45
82481,45
54006,45
75122,45
96239,45
97305,45
47378,46
79771,46
81146,46
93133,46
77490,46
35042,46
4174,46
82960,46
57108,46
23360,46
39820,46
92558,46
42792,46
78383,46
80905,46
42672,46
87774,46
39726,46
58790,46
62788,46
48960,46
7378,46
89657,47
9730,47
91960,47
33345,47
49557,47
25599,47
1051,47
11906,47
28203,47
90123,47
88805,47
50871,47
50362,47
24463,48
1646,48
293,48
54337,48
67178,48
75023,48
93875,48
31027,48
74122,48
38299,48
80142,48
64340,48
32022,49
36015,49
9456,49
28189,49
10173,49
21513,49
8174,49
70611,49
76759,49
54804,49
54745,49
36663,49
63345,49
78680,49
96602,49
34210,50
49188,50
286,50
42481,50
60112,50
59914,51
123,51
52416,51
374,51
62670,51
50724,51
79245,51
97785,51
62534,51
38750,51
93879,51
76048,52
65652,52
80569,52
23165,52
96656,52
36846,52
85447,52
57194,53
39644,53
66553,53
80003,53
31788,53
17426,53
72190,53
62674,53
25892,53
41106,53
34112,53
10971,53
47893,53
70506,53
45819,54
26405,54
71767,54
13494,54
67686,55
14723,55
88612,55
37233,55
93896,55
11396,55
60130,55
10526,55
10462,55
45340,55
177,56
90425,56
91556,56
52143,56
54100,56
47189,56
88531,56
41586,56
23632,56
3193,56
92456,56
80991,56
15565,56
89960,56
13120,57
60890,57
40517,57
54390,57
36357,57
42199,57
94460,57
33072,57
74364,57
44993,57
88072,57
68793,57
52814,58
37384,58
86030,58
82067,59
62649,59
82839,59
63933,59
90356,59
17558,59
42159,59
50198,59
73817,59
55185,59
43361,59
21269,59
48031,59
64341,59
57489,59
54056,59
37374,59
31970,60
5061,60
13510,60
16082,60
48048,60
19560,60
49781,60
11078,60
42155,60
6899,60
98998,60
94417,61
36916,61
21396,61
99918,61
48593,61
83385,61
14496,61
29989,62
86273,62
62634,62
11448,62
77430,62
25174,62
23298,62
37580,63
66131,63
55181,63
23681,63
14567,63
19793,63
24845,63
21754,63
54891,63
20781,63
45126,64
78743,64
39628,64
47052,64
82690,64
7421,64
26225,64
23805,64
87070,64
82337,65
65478,65
70841,65
23907,65
47239,65
29385,65
76717,65
24941,65
74359,65
97611,65
96997,65
22828,65
85865,65
94995,66
33685,66
43188,66
89885,66
98008,66
25449,66
29972,66
79613,66
77644,66
22873,66
13429,66
96022,66
73129,66
25584,66
11413,66
19386,67
35140,67
59089,67
8921,67
26043,67
67073,67
34919,67
64003,67
51084,68
79073,68
53453,68
60807,68
54639,68
35484,68
53278,68
72971,68
71937,68
82984,68
18711,68
93658,68
29105,68
42024,68
94376,69
7944,69
81285,69
16414,69
64895,69
84335,69
36711,69
59303,69
50903,69
91143,69
51741,69
55840,69
78369,69
32135,70
16513,70
14226,70
88803,70
81870,70
72366,70
86380,70
42504,70
16161,70
75214,70
25357,71
542,71
10124,71
14129,71
29175,71
88203,71
69705,71
38103,71
29469,71
49668,71
68359,71
14329,71
28247,72
1866,72
10019,72
88372,73
97591,73
74518,73
30376,73
64893,73
91023,73
86384,73
33416,73
49327,73
66024,73
45773,73
59027,73
61225,73
19094,73
84025,74
9453,74
40704,74
8917,74
19155,74
67511,74
95366,74
8900,74
73106,74
93934,75
58631,75
93476,75
94815,75
98740,75
67181,75
99467,75
19133,75
89050,76
17076,76
89197,76
36461,76
19092,76
5866,76
76515,76
56969,76
73279,76
47800,76
80268,76
68770,76
46461,76
82831,76
95061,76
34311,76
69733,76
797,77
50870,77
82844,77
49393,77
52776,77
19413,77
74707,77
55777,77
19312,77
62424,77
24427,77
45066,77
59690,77
13087,77
60145,77
13463,77
10812,78
24364,78
38236,78
40970,78
70602,78
15802,78
88314,78
97283,79
4679,79
1322,79
74051,79
25054,79
41488,79
21665,79
88435,79
80984,79
9585,79
43077,79
90176,79
98251,79
80246,79
83969,79
13278,80
30881,80
57651,80
84036,80
81596,80
14390,80
53475,80
25611,80
63659,80
92104,80
25725,80
30958,80
491,80
65914,80
81387,80
3521,80
30732,81
28066,81
46579,81
4842,81
14776,81
53375,81
4070,81
50337,81
72614,81
22917,81
13757,81
4844,81
43891,81
84701,81
87588,81
5444,81
61660,81
85418,81
7322,81
67383,81
79043,81
61412,81
38059,81
65941,81
76218,81
97885,82
23925,82
26403,82
17500,82
72235,82
28040,82
41002,82
58516,82
3629,82
8225,82
81744,83
69841,83
47602,83
83097,83
13119,83
64666,83
87176,83
9163,84
1588,84
46804,84
35074,84
50358,84
89503,84
54748,84
30859,84
12455,85
27749,85
38470,85
15485,85
7291,85
99421,85
20290,85
33649,86
75984,86
80989,86
